sanskrit_verse_transliteration,translation_in_english,meaning_in_english,meaning_in_hindi,chapter,verse
dhṛitarāśhtra uvācha dharma-kṣhetre kuru-kṣhetre samavetā yuyutsavaḥ māmakāḥ pāṇḍavāśhchaiva kimakurvata sañjaya,"Dhritarashtra said: O Sanjay, after gathering on the holy field of Kurukshetra, and desiring to fight, what did my sons and the sons of Pandu do?","The two armies had gathered on the battlefield of Kurukshetra, well prepared to fight a war that was inevitable. Still, in this verse, King Dhritarashtra asked Sanjay, what his sons and his brother Pandu’s sons were doing on the battlefield? It was apparent that they would fight, then why did he ask such a question?The blind King Dhritarashtra’s fondness for his own sons had clouded his spiritual wisdom and deviated him from the path of virtue. He had usurped the kingdom of Hastinapur from the rightful heirs; the Pandavas, sons of his brother Pandu. Feeling guilty of the injustice he had done towards his nephews, his conscience worried him about the outcome of this battle.The words dharma kṣhetre, the land of dharma (virtuous conduct) used by Dhritarashtra depict the dilemma he was experiencing. Kurukshetra is described as kurukṣhetraṁ deva yajanam in the Shatapath Brahman, the Vedic textbook detailing rituals. It means “Kurukshetra is the sacrificial arena of the celestial gods.”Hence, it was regarded as the sacred land that nourished dharma.Dhritarashtra feared that the holy land might influence the minds of his sons. If it aroused the faculty of discrimination, they might turn away from killing their cousins and negotiate a truce. A peaceful settlement meant that the Pandavas would continue being a hindrance for them.He felt great displeasure at these possibilities, instead preferred that this war transpires.He was uncertain of the consequences of the war, yet desired to determine the fate of his sons. Therefore, he asked Sanjay about the activities of the two armies on the battleground.","राजा धृतराष्ट्र जन्म से नेत्रहीन होने के अतिरिक्त आध्यात्मिक ज्ञान से भी वंचित था। अपने पुत्रों के प्रति अथाह मोह के कारण वह सत्यपथ से च्युत हो गया था और पाण्डवों के न्यायोचित राज्याधिकार को हड़पना चाहता था। अपने भतीजों पाण्डव पुत्रों के प्रति उसने जो अन्याय किया था, उसका उसे भलीभांति बोध था। इसी अपराध बोध के कारण वह युद्ध के परिणाम के संबंध में चिन्तित था। इसलिए धृतराष्ट्र संजय से कुरुक्षेत्र की युद्धभूमि जहाँ युद्ध होने वाला था-की घटनाओं के संबंध में जानकारी ले रहा था।इस श्लोक में धृतराष्ट्र ने संजय से यह प्रश्न पूछा कि उसके और पाण्डव पुत्रों ने युद्धभूमि में एकत्रित होने के पश्चात क्या किया? अब यह एकदम स्पष्ट था कि वे युद्धभूमि में केवल युद्ध करने के उद्देश्य के लिए एकत्रित हुए थे। इसलिए यह स्वाभाविक ही था कि वे युद्ध करेंगे। धृतराष्ट्र को ऐसा प्रश्न करने की आवश्यकता क्यों पड़ी कि उन्होंने युद्धभूमि में क्या किया?धृतराष्ट्र द्वारा 'धर्म क्षेत्रे', धर्मभूमि शब्द का प्रयोग करने से उसकी आशंका का पता चलता है। कुरुक्षेत्र पवित्र भूमि थी। शतपथ ब्राह्मण में इसका वर्णन 'कुरुक्षेत्र देव यजनम्' के रूप में किया गया है अर्थात 'कुरुक्षेत्र स्वर्ग की देवताओं की तपोभूमि है।' इसलिए इस भूमि पर धर्म फलीभूत होता है। धृतराष्ट्र आशंकित था कि कुरुक्षेत्र की पावन धर्म भूमि के प्रभाव के परिणामस्वरूप उसके पुत्रों में कहीं उचित और अनुचित में भेद करने का ऐसा विवेक जागृत न हो जाए कि वे यह सोचने लगें कि अपने स्वजन पाण्डवों का संहार करना अनुचित और धर्म विरूद्ध होगा और कहीं ऐसा विचार कर वे शांति के लिए समझौता करने को तैयार न हो जाएं। इस प्रकार की संभावित आशंकाओं के कारण धृतराष्ट्र के मन में अत्यंत निराशा उत्पन्न हुई। वह सोचने लगा कि यदि उसके पुत्रों ने युद्ध विराम या संधि का प्रस्ताव स्वीकार किया तो पाण्डव निरन्तर उनकी उन्नति के मार्ग में बाधा उत्पन्न करेंगे। साथ ही साथ वह युद्ध के परिणामों के प्रति भी संदिग्ध था और अपने पुत्रों के उज्ज्वल भविष्य के प्रति सुनिश्चित होना चाहता था। इसलिए उसने संजय से कुरुक्षेत्र के युद्धस्थल में हो रही गतिविधियों के संबंध में पूछा। जहाँ दोनों पक्षों की सेनाएं एकत्रित हुई थीं।",1,1
sañjaya uvācha dṛiṣhṭvā tu pāṇḍavānīkaṁ vyūḍhaṁ duryodhanastadā āchāryamupasaṅgamya rājā vachanamabravīt,"Sanjay said: On observing the Pandava army standing in military formation, King Duryodhan approached his teacher Dronacharya, and said the following words.","Sanjay understood Dhritarashtra’s concern, who wanted an assurance that the battle would eventuate. Sanjay tried to allay his worry by informing that the Pandava army was standing in a military formation, ready for battle. Then he moved on to tell him what his son Duryodhana was doing on the battlefield.As King Dhritarashtra was blind, his eldest son Duryodhana virtually ruled the kingdom of Hastinapur. In the Mahabharata, he is described as very rude, egoistic, evil and cruel by nature. Since his childhood, he had a strong dislike for the Pandavas and left no opportunity to demean them. He was aware that to rule over the entire kingdom of Hastinapur unchallenged he needed to eliminate them. However, standing on the battlefield, when he saw the large Pandava army, he was baffled. He had underestimated the Pandavas, the extent of military might they had gathered was way beyond his expectation.Duryodhana approached his guru Dronacharya with the pretense of offering respect, but his actual purpose was to palliate his own nervousness. His move towards his guru also reveals that the mammoth military formation of the Pandava army unnerved him and he was now fearful of the outcome of this war.The next nine verses are spoken by Duryodhan.","धृतराष्ट्र इस बात की पुष्टि करना चाहता था कि क्या उसके पुत्र अब भी युद्ध करने के उत्तरदायित्व का निर्वहन करेंगे? संजय धृतराष्ट्र के इस प्रश्न के तात्पर्य को समझ गया और उसने ऐसा कहकर कि पाण्डवों की सेना व्यूह रचना कर युद्ध करने को तैयार है, यह पुष्टि की कि युद्ध अवश्य होगा। फिर उसके पश्चात उसने वार्ता का विषय बदलते हुए यह बताया कि दुर्योधन क्या कर रहा था।धृतराष्ट्र का ज्येष्ठ पुत्र दुर्योधन निर्दयी और दुष्ट प्रवृत्ति का था। धृतराष्ट्र के जन्म से अंधा होने के कारण व्यावहारिक रूप से हस्तिनापुर के शासन की बागडोर दुर्योधन के हाथों में थी। वह पाण्डवों के साथ अत्यधिक ईर्ष्या करता था और कठोरता से उनका दमन करना चाहता था ताकि वह हस्तिनापुर पर निर्विरोध शासन कर सके। उसने यह कल्पना की थी कि पाण्डव कभी भी इतनी विशाल सेना एकत्रित नही कर सकते जो उसकी सेना का सामना कर सके। किन्तु अपने आंकलन के विपरीत पाण्डवों की विशाल सेना को देखकर दुर्योधन व्याकुल और हतोत्साहित हो गया।ऐसे में दुर्योधन का अपने गुरु द्रोणाचार्य के पास जाना यह दर्शाता है कि वह युद्ध के परिणाम के संबंध में भयभीत था। वह द्रोणाचार्य के प्रति अपना आदर प्रकट करने का ढोंग करते हुए, उनके पास गया किन्तु वास्तव में वह अपनी चिन्ता को कम करना चाहता था। इसलिए उसने अगले श्लोक से आरंभ होने वाले नौ श्लोकों में इस प्रकार से कहा।",1,2
paśhyaitāṁ pāṇḍu-putrāṇām āchārya mahatīṁ chamūm vyūḍhāṁ drupada-putreṇa tava śhiṣhyeṇa dhīmatā,"Duryodhan said: Respected teacher!Behold the mighty army of the sons of Pandu, so expertly arrayed for battle by your own gifted disciple, the son of Drupad.","Duryodhana asked Dronacharya to look at the skillfully arranged military phalanx of the Pandava army led by their commander-in-chief Dhristadyumna, King Dhrupad’s son. He was also one of Dronacharya’s pupils. Duryodhana was subtly reminding his teacher of a mistake he had committed in the past.Many years back, Dronacharya along with the Pandavas had defeated King Drupad in a battle and took away half his kingdom. To avenge his defeat, Drupad performed a sacrifice to beget a son. Dhristadyumna was born out of that sacrificial fire, with a boon that he would kill Dronacharya in the future. Even though Dronacharya was aware, when he was approached for Dhristadyumna’s military training, he very humbly accepted and imparted all his knowledge impartially to his pupil.Duryodhana was reminding Dronacharya that even though Dhristadyumna was his pupil, he was also Drupad’s son, with a boon to kill him. He wanted to ensure that as in the past, Dhronacharya should not become lenient towards his pupils, now that, they were on the battlefield.",दुर्योधन एक कुशल कूटनीतिज्ञ के रूप में अपने सेनापति गुरु द्रोणाचार्य द्वारा अतीत में की गई भूल को इंगित करना चाहता था। द्रोणाचार्य का राजा द्रुपद के साथ किसी विषय पर राजनैतिक विवाद था। उस विवाद के कारण क्रोधित होकर द्रुपद ने प्रतिशोध की भावना से यज्ञ कियाऔर यह वरदान प्राप्त किया कि उसे ऐसे पुत्र की प्राप्ति होगी जो द्रोणाचार्य का वध करने में समर्थ होगा। इस वरदान के फलस्वरूप उसका धृष्टद्युम्न के नाम से पुत्र हुआ। यद्यपि द्रोणाचार्य धृष्टद्युम्न के जन्म का रहस्य जानते थे किन्तु जब द्रुपद ने अपने पुत्र धृष्टद्युम्न को सैन्य कौशल की विद्या प्रदान करने के लिए द्रोणाचार्य को सौंपा तब उदारचित द्रोणाचार्य नेधृष्टद्युम्न को सैन्य युद्ध कौशल की विद्या में निपुण बनाने में कोई संकोच और भेदभाव नही किया। अब धृष्टद्युम्न पाण्डवों के पक्ष से उनकी सेना के महानायक के रूप में उनकी सेना की व्यूह रचना कर रहा था। ऐसे में दुर्योधन अपने गुरु को यह अवगत कराना चाहता था कि अतीत में की गई उनकी भूल के कारण उसे वर्तमान में संकट का सामना करना पड़ रहा है और वह यह भी इंगित करना चाहता था कि उन्हें आगे पाण्डवों के साथ युद्ध करने में किसी प्रकार की उदारता नहीं दर्शानी चाहिए।,1,3
atra śhūrā maheṣhvāsā bhīmārjuna-samā yudhiyuyudhāno virāṭaśhcha drupadaśhcha mahā-rathaḥdhṛiṣhṭaketuśhchekitānaḥ kāśhirājaśhcha vīryavānpurujit kuntibhojaśhcha śhaibyaśhcha nara-puṅgavaḥyudhāmanyuśhcha vikrānta uttamaujāśhcha vīryavānsaubhadro draupadeyāśhcha sarva eva mahā-rathāḥ,"Behold in their ranks are many powerful warriors, like Yuyudhan, Virat, and Drupad, wielding mighty bows and equal in military prowess to Bheem and Arjun.There are also accomplished heroes like Dhrishtaketu, Chekitan, the gallant King of Kashi, Purujit, Kuntibhoj, and Shaibya—all the best of men.In their ranks, they also have the courageous Yudhamanyu, the gallant Uttamauja, the son of Subhadra, and the sons of Draupadi, who are all great warrior chiefs.","Due to his anxiety, the Pandava army seemed much larger to Duryodhan than it actually was. He had never expected his opponents would mobilize an army of warriors with such military prowess, who would be formidable in battle. Out of fear of the looming catastrophe, he started enumerating the names of all the mahārathīs (warriors who were singly equivalent in strength to ten thousand ordinary warriors) gathered on the Pandava side. They were all exceptional heroes, and great military commanders, equivalent in valor to his cousins Arjun and Bheem.",अपने सम्मख संकट को मंडराते देखकर दुर्योधन को पाण्डवों द्वारा एकत्रित की गयी सेना वास्तविकता से अपेक्षाकृत अधिक विशाल प्रतीत होनी लगी। अपनी चिन्ता को व्यक्त करने के लिए दुर्योधन ने यह इंगित किया कि पाण्डव पक्ष की ओर से महारथी (ऐसे योद्धा जो अकेले ही साधारण दस हजार योद्धाओं के साथ युद्ध करने की सामर्थ्य रखते हों) युद्ध करने के लिए उपस्थित हैं। दुर्योधन ने पाण्डवों की सेना के ऐसे असाधारण महापराक्रमी योद्धाओं का उल्लेख भी किया जो अर्जुन और भीम के समान बलशाली महान सेना नायक थे जिन्हें युद्ध में पराजित करना कठिन होगा।,1,4-6
asmākaṁ tu viśhiṣhṭā ye tānnibodha dwijottama nāyakā mama sainyasya sanjñārthaṁ tānbravīmi te,"O best of Brahmins, hear too about the principal generals on our side, who are especially qualified to lead. These I now recount unto you.","Dronacharya was a teacher of military science and not really a warrior. However, he was on the battlefield as one of the commanders of the Kaurava army. An impudent Duryodhana even doubted the loyalty of his own preceptor. Cunning Duryodhana purposefully addressed his teacher as dwijottama (best amongst the twice-born, or Brahmins). His denigrating and vailed reminder for Dronacharya was that, if he did not display his valor in this battle, he would be considered a lowly Brahmin, who was only interested in the fine food and lavish lifestyle at the king’s palace.Then to cover up his vicious words and boost his teacher’s and his own morale; Duryodhana started naming all the great generals present on the Kaurava side, describing their valor and military expertise.","यहाँ कौरव सेना के प्रधान सेनापति द्रोणाचार्य को दुर्योधन ने 'द्विजोत्तम' (द्विजन्मा में श्रेष्ठ या ब्राह्मण) ब्राह्मणों में सर्वश्रेष्ठ कहकर संबोधित किया। उसने जान बूझकर अपने गुरु को इस प्रकार संबोधित किया। द्रोणाचार्य वृत्ति से योद्धा नही थे, वह सैन्य शिक्षा के आचार्य थे। एक कपटी नायक के रूप में दुर्योधन अपने मन में अपने गुरु की निष्ठा पर निर्लज्जतापूर्वक संदेह कर रहा था। दुर्योधन के शब्दों में छिपा अर्थ यह था कि यदि द्रोणाचार्य पराक्रम से युद्ध नही लड़ते तो उन्हें मात्र एक ब्राह्मण ही माना जाएगा जिसकी रुचि दुर्योधन के राज्य में केवल उत्तम जीविका अर्जित करने और सुख सुविधाएं भोगने की होगी।ऐसा कहकर अब दुर्योधन अपना और अपने गुरु के मनोबल को बढ़ाना चाहता था और इसलिए वह अपनी सेना के महासेनानायकों की गणना करने लगा।",1,7
bhavānbhīṣhmaśhcha karṇaśhcha kṛipaśhcha samitiñjayaḥ aśhvatthāmā vikarṇaśhcha saumadattis tathaiva cha,"There are personalities like yourself, Bheeshma, Karna, Kripa, Ashwatthama, Vikarn, and Bhurishrava, who are ever victorious in battle.",Not available,Not available,1,8
anye cha bahavaḥ śhūrā madarthe tyaktajīvitāḥ nānā-śhastra-praharaṇāḥ sarve yuddha-viśhāradāḥ,"Also, there are many other heroic warriors, who are prepared to lay down their lives for my sake. They are all skilled in the art of warfare, and equipped with various kinds of weapons.",Not available,Not available,1,9
aparyāptaṁ tadasmākaṁ balaṁ bhīṣhmābhirakṣhitam paryāptaṁ tvidameteṣhāṁ balaṁ bhīmābhirakṣhitam,"The strength of our army is unlimited and we are safely marshalled by Grandsire Bheeshma, while the strength of the Pandava army, carefully marshalled by Bheem, is limited.","The commander-in-chief of the Kaurava army was Grandsire Bheeshma. Apart from being an exceptional warrior, he had an extraordinary boon. He could choose the time of his death, this meant he was practically invincible. Duryodhana felt that under Bheeshma’s command their army was undefeatable. Whereas, the Pandava army was secured by Duryodhana’s sworn enemy, Bheema. Hence, he started comparing his Grandfather Bheeshma’s strength with his cousin Bheema.Vinaash kale vipreet buddhi as the proverb goes, which means that when the end draws near, egoistic people indulge in vainglory instead of being humble in evaluating their situation. This tragic irony of fate is reflected here in Duryodhana’s self-aggrandizing statement that; their army’s strength secured by Bheeshma was unlimited.However, both Kauravas and Pandavas were Bheeshma’s grandchildren and as the oldest living member of the Kuru family, he was concerned about their welfare. He was compassionate towards the Pandavas, but was bound by his ethical commitment towards the throne of Hastinapur and its subjects. Therefore, halfheartedly, he led the Kaurava army against them.Bheeshma was also aware that in this holy war, along with all the great warriors of the world the Supreme Lord Krishna Himself was present. Lord Krishna was with the Pandavas, which meant Dharma was on their side, and no power in the entire universe could make the side of Adharma win.He had vowed to protect the kingdom of Hastinapur and its subjects and to fulfill his responsibility towards them Bheeshma led the Kaurava army, even though he was aware of their wrongdoings. This decision of Bheeshma accentuates his strength of character and enigmatic personality.",दुर्योधन के आत्म प्रशंसा करने वाले ये शब्द मिथ्याभिमान करने वाले मनुष्यों की वशिष्ट उक्ति जैसे थे। जब उन्हें अपना अन्त निकट दिखाई देता है तब स्थिति का आंकलन करने के पश्चात आत्मप्रशंसा करने वाले व्यक्ति अभिमानपूर्वक मिथ्या गर्व करने लगते हैं। अपने भविष्य के प्रति अनर्थकारी व्यंगोक्ति दुर्योधन के कथन में तब अभिव्यक्त हुई जब उसने कहा कि भीष्म पितामह द्वारा संरक्षित उनकी शक्ति असीमित थी।भीष्म पितामह कौरव सेना के प्रधान सेनापति थे। उन्हें इच्छा मृत्यु और अपनी मृत्यु का समय निश्चित करने का वरदान प्राप्त था जिससे वह वास्तव में अजेय कहलाते थे। पाण्डव पक्ष की सेना भीम के संरक्षण में थी जो दुर्योधन का जन्मजात शत्रु था। इसलिए दुर्योधन ने भीष्म के साथ भीम की अल्प शक्ति की तुलना की। भीष्म कौरव और पाण्डवों के पितामह थे और वे वस्तुतः दोनों पक्षों का कल्याण चाहते थे। पाण्डवों के प्रति करूणा भाव भीष्म पितामह को तन्मयता से युद्ध करने से रोकता था। वे यह भी जानते थे कि इस धर्मयुद्ध में भगवान श्रीकृष्ण पाण्डवों की ओर से उपस्थित थे और संसार की कोई भी शक्ति अधर्म का पक्ष लेने वालों को विजय नही दिला सकती। इसलिए भीष्म पितामह ने अपने नैतिक उत्तरदायित्व का पालन करने और हस्तिनापुर एवं कौरवों के हित की रक्षा हेतु पाण्डवों के विरूद्ध युद्ध करने का निर्णय लिया। यह निर्णय भीष्म पितामह के व्यक्तित्व के विचित्र लक्षण को रेखांकित करता है।,1,10
ayaneṣhu cha sarveṣhu yathā-bhāgamavasthitāḥ bhīṣhmamevābhirakṣhantu bhavantaḥ sarva eva hi,"Therefore, I call upon all the generals of the Kaurava army now to give full support to Grandsire Bheeshma, even as you defend your respective strategic points.",Duryodhana urged all the Kaurava generals to make sure they are around Grandsire Bheeshma and give him full support while they defend their own respective positions in the military phalanx. Duryodhana beheld Bheeshma’s unassailability as an advantage and wanted to use it as strength and inspiration for his army.,दुर्योधन यह समझ गया था कि भीष्म पितामह मानसिक रूप से पाण्डवों के विरूद्ध आक्रान्त होकर युद्ध लड़ने को इच्छुक नही हैं जिसके कारण वे सैनिकों को वीरता और उत्साह से युद्ध करने के लिए प्रेरित नही करेंगे। इसलिए उसने अपनी सेना के अन्य सेना नायकों से अपनी-अपनी स्थिति पर अडिग रहने के साथ-साथ चारों ओर से भीष्म पितामह की सुरक्षा का भी ध्यान रखने को कहा।,1,11
tasya sañjanayan harṣhaṁ kuru-vṛiddhaḥ pitāmahaḥ siṁha-nādaṁ vinadyochchaiḥ śhaṅkhaṁ dadhmau pratāpavān,"Then, the grand old man of the Kuru dynasty, the glorious patriarch Bheeshma, roared like a lion, and blew his conch shell very loudly, giving joy to Duryodhan.","Bheeshma was aware that Duryodhana had no chance of victory as the Supreme Lord Shree Krishna was on the opposite side. However, he understood his grand-nephew’s anxiety and to cheer him up he blew his conch shell loudly. In olden days, blowing of the conch shell in the battlefield signaled the start of the war. This also conveyed to Duryodhana that Bheeshma was ready to lead the Kaurava army and he would fight dutifully and spare no pain.",भीष्म पितामह अपने भतीजे दुर्योधन के भीतर के भय को समझ गये थे और उसके प्रति अपने स्वाभाविक करूणाभाव के कारण उन्होंने दुर्योधन को प्रसन्न करने के लिए उच्च स्वर में शंखनाद किया। यद्यपि वे जानते थे कि दूसरे पक्ष पाण्डवों की सेना में स्वयं परम पुरूषोत्तम भगवान श्रीकृष्ण के उपस्थित होने पर दुर्योधन किसी भी स्थिति में युद्ध में विजय प्राप्त नहीं कर सकता। फिर भी भीष्म अपने भतीजे को यह बताना चाहते थे कि वे युद्ध करने के अपने दायित्व का भली-भांति पालन करेंगे और इस संबंध में किसी भी प्रकार की शिथिलता नहीं दिखाएंगे। उस समय प्रचलित युद्ध के नियमों के अनुसार शंखनाद द्वारा युद्ध का उद्घाटन किया जाता था।,1,12
